class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value
3,1,0.8396404109589041,0.267971180612412,9819,10930.0
3,2,0.8468321917808219,0.27262449677383777,9887,11029.0
3,3,0.8372431506849315,0.2689237544728874,9770,10904.0
3,4,0.8410958904109589,0.27136220341795253,9813,10962.0
3,5,0.8408390410958904,0.2687405783198575,9805,10961.0
3,6,0.8413527397260274,0.26877070046259544,9819,10951.0
3,7,0.833904109589041,0.26482267188859876,9737,10871.0
3,8,0.8386986301369863,0.2679543651336489,9794,10933.0
3,9,0.8385273972602739,0.2678434801617663,9802,10922.0
3,10,0.8393835616438357,0.26999118845687853,9805,10926.0
3,11,0.842722602739726,0.27065792721388804,9869,10978.0
3,12,0.8416095890410958,0.26838134805663366,9819,10964.0
3,13,0.8405821917808219,0.27175745515849986,9833,10956.0
3,14,0.838013698630137,0.26609920591754593,9785,10920.0
3,15,0.8407534246575342,0.26957549763554384,9805,10951.0
3,16,0.842208904109589,0.271013094417643,9831,10957.0
3,17,0.8398972602739726,0.27096613958109117,9819,10944.0
3,18,0.8400684931506849,0.2689220654704835,9817,10949.0
3,19,0.8392979452054794,0.2672791020030984,9834,10962.0
3,20,0.8418664383561644,0.26923287671232876,9827,10949.0
3,21,0.8341609589041096,0.2655430506993007,9721,10883.0
3,22,0.8433219178082192,0.26811140453567833,9848,10983.0
3,23,0.8361301369863013,0.2678532250987275,9767,10898.0
3,24,0.8416952054794521,0.27135803150257926,9837,10994.0
3,25,0.8421232876712329,0.27125606528451696,9839,10967.0
3,26,0.8379280821917808,0.26853756892436836,9789,10930.0
3,27,0.8404109589041096,0.2666938442723196,9813,10925.0
3,28,0.842208904109589,0.268743515535412,9843,10980.0
3,29,0.8455479452054795,0.27061629564645245,9871,11017.0
3,30,0.8344178082191781,0.26639321848509706,9742,10882.0
3,31,0.8451198630136987,0.27126620249332634,9857,11007.0
3,32,0.8388698630136986,0.27136332179930794,9803,10943.0
3,33,0.8454623287671232,0.27034637360234015,9889,11015.0
3,34,0.8363869863013699,0.2662557276892865,9762,10900.0
3,35,0.8415239726027397,0.2700293480347788,9845,10929.0
3,36,0.8416095890410958,0.2712028022175028,9833,10944.0
3,37,0.8445205479452055,0.27089281792224906,9867,10995.0
3,38,0.8424657534246576,0.26882396348629367,9836,10959.0
3,39,0.8406678082191781,0.2691737578918474,9806,10939.0
3,40,0.8374143835616439,0.26885731526688245,9802,10895.0
3,41,0.842722602739726,0.26938552073354316,9842,10983.0
3,42,0.836986301369863,0.2657791060997147,9782,10903.0
3,43,0.8429794520547945,0.27057918452577207,9848,10975.0
3,44,0.8456335616438356,0.269546707420244,9877,11012.0
3,45,0.8379280821917808,0.26677385948656457,9789,10926.0
3,46,0.8389554794520548,0.2671032883067267,9788,10934.0
3,47,0.8476883561643835,0.2698109604735536,9891,11015.0
3,48,0.8410958904109589,0.27091963545981773,9810,10959.0
3,49,0.8365582191780822,0.2662482946793997,9758,10901.0
3,50,0.8429794520547945,0.2694553329130232,9830,10977.0
3,51,0.8392123287671233,0.26934270495854157,9810,10915.0
3,52,0.8373287671232876,0.2686403207645621,9782,10908.0
3,53,0.8382705479452055,0.2666484865012272,9778,10912.0
3,54,0.8420376712328768,0.2672282608695652,9834,10956.0
3,55,0.8434075342465753,0.2666122671018632,9802,10953.0
3,56,0.8422945205479452,0.27180678894514065,9825,10979.0
3,57,0.8441780821917808,0.2683936694723652,9853,10995.0
3,58,0.8359589041095891,0.26660841547661307,9764,10883.0
3,59,0.8370719178082192,0.2676633777024626,9793,10905.0
3,60,0.8420376712328768,0.269862600444286,9840,10961.0
3,61,0.8423801369863013,0.2685559685177088,9827,10974.0
3,62,0.8412671232876713,0.269620635661896,9815,10956.0
3,63,0.8404109589041096,0.2687904702057321,9838,10962.0
3,64,0.8446061643835616,0.2695692576801137,9863,11002.0
3,65,0.8416952054794521,0.2706969580284944,9842,10982.0
3,66,0.8375856164383562,0.26804293518543937,9764,10907.0
3,67,0.8393835616438357,0.2719957825809495,9803,10900.0
3,68,0.8387842465753425,0.27116765056400877,9784,10930.0
3,69,0.8386130136986302,0.26906715701073086,9804,10928.0
3,70,0.8392979452054794,0.26854058792909785,9802,10951.0
3,71,0.8304794520547946,0.2658655033336077,9690,10824.0
3,72,0.8421232876712329,0.2706393032775626,9851,10952.0
3,73,0.8416095890410958,0.26853570648613234,9837,10948.0
3,74,0.842722602739726,0.27111172337787576,9840,10965.0
3,75,0.8393835616438357,0.26582519001085775,9793,10922.0
3,76,0.8386986301369863,0.2679440223036134,9803,10936.0
3,77,0.8412671232876713,0.26791115955852296,9831,10959.0
3,78,0.8404965753424658,0.27081952728075986,9808,10958.0
3,79,0.8474315068493151,0.2721095920556763,9892,11045.0
3,80,0.8417808219178082,0.26907817331107886,9834,10974.0
3,81,0.8455479452054795,0.2713498622589532,9850,11004.0
3,82,0.8359589041095891,0.26858993714144547,9785,10918.0
3,83,0.8380993150684931,0.26872790066606367,9804,10937.0
3,84,0.8391267123287671,0.26669753758988884,9791,10940.0
3,85,0.8391267123287671,0.2692772076175841,9813,10938.0
3,86,0.8423801369863013,0.2692465248381899,9859,10984.0
3,87,0.8494006849315069,0.27106407416523093,9912,11066.0
3,88,0.8421232876712329,0.2698556203939618,9850,10977.0
3,89,0.8350171232876712,0.2681237113402062,9753,10883.0
3,90,0.8420376712328768,0.2675684502748898,9831,10963.0
3,91,0.8428082191780822,0.2717820007171029,9854,10977.0
3,92,0.8453767123287671,0.2711892337269981,9874,11003.0
3,93,0.8404965753424658,0.2691190971841788,9825,10965.0
3,94,0.8435787671232877,0.26967830253251196,9850,10982.0
3,95,0.8430650684931507,0.27139236321560417,9851,10965.0
3,96,0.8404965753424658,0.2685765933554271,9806,10945.0
3,97,0.8440924657534247,0.2719746101835242,9855,10981.0
3,98,0.8425513698630137,0.26912871016276846,9838,10974.0
3,99,0.841181506849315,0.2688354291962821,9834,10957.0
3,100,0.8361301369863013,0.2671343177661926,9787,10905.0
4,1,0.8452054794520548,0.2712385132354958,9888,11013.0
4,2,0.8361301369863013,0.26736519574316747,9773,10910.0
4,3,0.8448630136986301,0.2696958091694934,9859,11007.0
4,4,0.8356164383561644,0.26912173506178955,9778,10894.0
4,5,0.8398972602739726,0.27097665423401024,9808,10944.0
4,6,0.842722602739726,0.2696007234660601,9838,10976.0
4,7,0.8455479452054795,0.27044663175499684,9864,10998.0
4,8,0.8433219178082192,0.27007419620774936,9828,10989.0
4,9,0.8386986301369863,0.2697543936851949,9808,10922.0
4,10,0.8414383561643836,0.2687534171678513,9831,10953.0
4,11,0.8398116438356165,0.2683606557377049,9822,10929.0
4,12,0.8467465753424658,0.27307342107441435,9897,11028.0
4,13,0.841181506849315,0.2685927865990069,9845,10971.0
4,14,0.8416095890410958,0.268355329671831,9821,10946.0
4,15,0.8355308219178083,0.26665390505359876,9751,10892.0
4,16,0.8406678082191781,0.267081084028573,9796,10968.0
4,17,0.8425513698630137,0.2688469005496158,9832,10965.0
4,18,0.8456335616438356,0.2731571088867998,9879,11013.0
4,19,0.842722602739726,0.26878573187077714,9826,10988.0
4,20,0.8439212328767123,0.26666846915048936,9863,10997.0
4,21,0.8424657534246576,0.2685018297012398,9832,10957.0
4,22,0.8439212328767123,0.26892978868438994,9863,10997.0
4,23,0.8416952054794521,0.2712814424165447,9825,10950.0
4,24,0.8426369863013699,0.2731739818439244,9840,10981.0
4,25,0.8373287671232876,0.2685202975324568,9783,10908.0
4,26,0.8461472602739726,0.2742911048221519,9886,11008.0
4,27,0.8398116438356165,0.2702576241329957,9819,10957.0
4,28,0.8391267123287671,0.27177256227659397,9808,10912.0
4,29,0.8381849315068494,0.26876579843938897,9782,10920.0
4,30,0.8431506849315068,0.2696546052631579,9837,10986.0
4,31,0.8351883561643836,0.2661206661206661,9748,10881.0
4,32,0.8385273972602739,0.26675201568969276,9793,10936.0
4,33,0.8351883561643836,0.2682383362676056,9751,10896.0
4,34,0.8417808219178082,0.26979020594462316,9812,10952.0
4,35,0.8470890410958904,0.2717806412616424,9892,11030.0
4,36,0.8388698630136986,0.2664183973034685,9801,10925.0
4,37,0.8413527397260274,0.2699136935847397,9820,10938.0
4,38,0.8350171232876712,0.2661827311428883,9754,10897.0
4,39,0.8460616438356164,0.26950664084871956,9882,11015.0
4,40,0.8453767123287671,0.2686903823681278,9887,11008.0
4,41,0.8440924657534247,0.2680936709549324,9857,10990.0
4,42,0.8404965753424658,0.26662859629085767,9805,10950.0
4,43,0.8452054794520548,0.2718232652948792,9868,10997.0
4,44,0.8425513698630137,0.26888779473713004,9830,10987.0
4,45,0.8368150684931507,0.2677478664142038,9757,10891.0
4,46,0.8404109589041096,0.2673631949369851,9801,10949.0
4,47,0.8429794520547945,0.2674554603563172,9833,10967.0
4,48,0.8401541095890411,0.2679736777434945,9814,10943.0
4,49,0.8357020547945205,0.26647188924992493,9759,10903.0
4,50,0.8403253424657534,0.2706800077179636,9820,10947.0
4,51,0.8353595890410959,0.26782823432569625,9761,10896.0
4,52,0.8467465753424658,0.27259177477228813,9876,11014.0
4,53,0.8372431506849315,0.26814217541550106,9777,10921.0
4,54,0.8366438356164384,0.26511514362437955,9774,10916.0
4,55,0.8388698630136986,0.2661244253420745,9783,10915.0
4,56,0.8454623287671232,0.27084990264103337,9876,10995.0
4,57,0.841181506849315,0.2694397190363826,9820,10941.0
4,58,0.8405821917808219,0.2701511855258447,9810,10938.0
4,59,0.8487157534246575,0.27094430331339286,9919,11044.0
4,60,0.8418664383561644,0.26876950878922296,9816,10963.0
4,61,0.8372431506849315,0.2697023250676534,9767,10922.0
4,62,0.8409246575342466,0.2694438350153576,9825,10953.0
4,63,0.836986301369863,0.27059572583324104,9775,10894.0
4,64,0.8458047945205479,0.27071367721014594,9851,11014.0
4,65,0.8416952054794521,0.2694963555652984,9835,10977.0
4,66,0.839041095890411,0.26749454148471613,9801,10924.0
4,67,0.84375,0.2707984059365123,9853,10980.0
4,68,0.8443493150684932,0.2745823024102749,9877,10996.0
4,69,0.846318493150685,0.26946645967807825,9894,10999.0
4,70,0.8391267123287671,0.2691811114468588,9799,10942.0
4,71,0.8375,0.2697491989835377,9766,10904.0
4,72,0.8378424657534247,0.2652215146999052,9788,10919.0
4,73,0.8386130136986302,0.26739766481638455,9779,10907.0
4,74,0.8466609589041096,0.2693335514834206,9877,11003.0
4,75,0.8356164383561644,0.2693847130593204,9759,10892.0
4,76,0.8443493150684932,0.26958620122302357,9831,10974.0
4,77,0.8359589041095891,0.2660520429872893,9754,10892.0
4,78,0.8355308219178083,0.26613893817387746,9750,10894.0
4,79,0.8375,0.2691894867207926,9781,10917.0
4,80,0.8401541095890411,0.2688000878252278,9794,10931.0
4,81,0.8377568493150684,0.2690171057697596,9782,10923.0
4,82,0.8377568493150684,0.27056743466489863,9794,10916.0
4,83,0.8375,0.2668357053274442,9787,10904.0
4,84,0.8339897260273973,0.2682557178286029,9735,10873.0
4,85,0.8363013698630137,0.26846376014303397,9760,10903.0
4,86,0.8392123287671233,0.2707689761694616,9817,10919.0
4,87,0.8345890410958904,0.26702130576654143,9738,10884.0
4,88,0.8395547945205479,0.26827933450087565,9804,10934.0
4,89,0.842208904109589,0.26936764303312344,9840,10951.0
4,90,0.8410102739726028,0.26719591104344514,9828,10960.0
4,91,0.8406678082191781,0.2689811899351094,9824,10945.0
4,92,0.8392979452054794,0.2716497272148218,9809,10926.0
4,93,0.8389554794520548,0.2686710072769054,9821,10955.0
4,94,0.8375856164383562,0.267325111862927,9798,10929.0
4,95,0.8431506849315068,0.2697933532753369,9831,10971.0
4,96,0.8434075342465753,0.27036180406410043,9819,10973.0
4,97,0.8400684931506849,0.2677796873721254,9816,10964.0
4,98,0.838013698630137,0.267058501913614,9769,10906.0
4,99,0.839041095890411,0.267330774883645,9822,10895.0
4,100,0.8468321917808219,0.2677792527972691,9884,11015.0
5,1,0.8370719178082192,0.26531333224631776,9763,10908.0
5,2,0.8373287671232876,0.26550734059266484,9802,10901.0
5,3,0.8357876712328767,0.26615346818442387,9750,10880.0
5,4,0.8415239726027397,0.2692149496832927,9818,10951.0
5,5,0.8414383561643836,0.2687986407979831,9809,10962.0
5,6,0.8362157534246575,0.2690886020081651,9755,10880.0
5,7,0.8438356164383561,0.27065934065934066,9852,10980.0
5,8,0.8356164383561644,0.2647170631041599,9749,10892.0
5,9,0.8471746575342466,0.27048956398207846,9901,11023.0
5,10,0.8358732876712329,0.26434165244018104,9755,10894.0
5,11,0.8408390410958904,0.270219831489969,9846,10959.0
5,12,0.8327054794520548,0.26888526493269577,9728,10858.0
5,13,0.8431506849315068,0.2683146189905156,9845,10993.0
5,14,0.8384417808219178,0.2676995382135148,9797,10924.0
5,15,0.8379280821917808,0.26661940339204887,9778,10924.0
5,16,0.8386986301369863,0.2692954175966493,9773,10931.0
5,17,0.8401541095890411,0.26843504233688653,9796,10946.0
5,18,0.8347602739726028,0.2667450380009842,9757,10867.0
5,19,0.8395547945205479,0.2686501739678365,9806,10936.0
5,20,0.8436643835616439,0.2692349846558527,9826,10989.0
5,21,0.8490582191780822,0.2719481375673003,9900,11036.0
5,22,0.8373287671232876,0.26676663031624864,9785,10883.0
5,23,0.8423801369863013,0.27195866604039454,9843,10957.0
5,24,0.8397260273972603,0.26972618164840295,9821,10945.0
5,25,0.8410102739726028,0.2698203395417834,9822,10943.0
5,26,0.8373287671232876,0.26786349579923924,9788,10917.0
5,27,0.8392123287671233,0.268821345069454,9773,10940.0
5,28,0.842208904109589,0.2694068935260084,9825,10964.0
5,29,0.8379280821917808,0.26801783321025135,9799,10910.0
5,30,0.8352739726027397,0.26736749650042546,9741,10885.0
5,31,0.8387842465753425,0.26704219190068634,9766,10914.0
5,32,0.8434931506849315,0.2683643486777669,9864,10959.0
5,33,0.8381849315068494,0.2669600393593178,9767,10920.0
5,34,0.8375856164383562,0.2663172549340758,9756,10908.0
5,35,0.8356164383561644,0.26841527053007413,9773,10899.0
5,36,0.8353595890410959,0.2660980461618116,9765,10894.0
5,37,0.8421232876712329,0.2707628865979381,9849,10966.0
5,38,0.8423801369863013,0.26619836728051854,9815,10937.0
5,39,0.8399828767123287,0.2677489768076398,9813,10944.0
5,40,0.8429794520547945,0.26975596380586786,9838,10994.0
5,41,0.8389554794520548,0.26837288321367897,9794,10924.0
5,42,0.8379280821917808,0.26840718168341293,9777,10901.0
5,43,0.839041095890411,0.2687123287671233,9808,10930.0
5,44,0.8370719178082192,0.26625108885017423,9781,10908.0
5,45,0.8325342465753425,0.26653509853904556,9724,10830.0
5,46,0.842722602739726,0.2704148831083306,9855,10975.0
5,47,0.8358732876712329,0.26704280901646077,9750,10876.0
5,48,0.8393835616438357,0.26658142445182004,9799,10937.0
5,49,0.8421232876712329,0.26803535010197144,9857,10969.0
5,50,0.8412671232876713,0.2686750944015761,9819,10950.0
5,51,0.8395547945205479,0.267854215616633,9804,10950.0
5,52,0.8400684931506849,0.2681613123718387,9808,10950.0
5,53,0.842208904109589,0.2667390714091773,9824,10972.0
5,54,0.8407534246575342,0.27112510704124193,9815,10944.0
5,55,0.8394691780821918,0.26860761575787484,9798,10922.0
5,56,0.8383561643835616,0.2658832469400494,9797,10934.0
5,57,0.8474315068493151,0.2721694868620168,9892,11026.0
5,58,0.8409246575342466,0.26571003113577907,9814,10940.0
5,59,0.8425513698630137,0.268464243845252,9847,10975.0
5,60,0.8395547945205479,0.2684370632245334,9795,10925.0
5,61,0.8423801369863013,0.27111637776614217,9838,10985.0
5,62,0.8436643835616439,0.27010833880499013,9873,10971.0
5,63,0.8393835616438357,0.2718804579856394,9807,10939.0
5,64,0.8465753424657534,0.27047566976489884,9894,11020.0
5,65,0.8404965753424658,0.27061229000884174,9794,10947.0
5,66,0.84375,0.2679221696831349,9859,10996.0
5,67,0.8400684931506849,0.26767552828902524,9817,10951.0
5,68,0.8372431506849315,0.2670245524157288,9799,10912.0
5,69,0.8430650684931507,0.2690650229107571,9865,10981.0
5,70,0.8382705479452055,0.2680915193862173,9784,10928.0
5,71,0.8395547945205479,0.2688939522881379,9795,10931.0
5,72,0.8441780821917808,0.26611945134463766,9856,10996.0
5,73,0.8399828767123287,0.27079943744312385,9820,10946.0
5,74,0.8414383561643836,0.2704859391337846,9830,10948.0
5,75,0.8383561643835616,0.2695062710980597,9820,10921.0
5,76,0.8455479452054795,0.2697960859449843,9857,11007.0
5,77,0.8416952054794521,0.270421217707101,9829,10951.0
5,78,0.8414383561643836,0.2692349756657735,9847,10968.0
5,79,0.8345034246575342,0.26752554664322603,9739,10884.0
5,80,0.8410958904109589,0.26611677881484697,9808,10969.0
5,81,0.8386986301369863,0.26973919256877454,9815,10936.0
5,82,0.8409246575342466,0.2709622418392322,9853,10967.0
5,83,0.8415239726027397,0.27035211849241525,9820,10952.0
5,84,0.8394691780821918,0.26761062912642547,9809,10930.0
5,85,0.8356164383561644,0.26785076022105525,9742,10891.0
5,86,0.8412671232876713,0.2720840243228303,9844,10943.0
5,87,0.8398116438356165,0.27077059099825934,9800,10942.0
5,88,0.8404109589041096,0.2690282956788769,9812,10944.0
5,89,0.8467465753424658,0.2701261044396422,9875,11025.0
5,90,0.8434931506849315,0.27154068566707973,9861,10975.0
5,91,0.8389554794520548,0.2708379333186134,9813,10938.0
5,92,0.8421232876712329,0.2695506574071532,9820,10945.0
5,93,0.8443493150684932,0.2731804586241276,9864,10985.0
5,94,0.8418664383561644,0.27008664557832485,9819,10955.0
5,95,0.8407534246575342,0.2696505951401459,9832,10929.0
5,96,0.8407534246575342,0.2694260697719101,9816,10955.0
5,97,0.8426369863013699,0.26991575423286956,9836,10961.0
5,98,0.8446061643835616,0.2716341523814765,9872,10999.0
5,99,0.8356164383561644,0.26767123287671235,9770,10897.0
5,100,0.8397260273972603,0.26973882953890094,9822,10944.0
6,1,0.8392979452054794,0.2699840457721296,9815,10934.0
6,2,0.8439212328767123,0.27136769759450174,9871,10985.0
6,3,0.839041095890411,0.2681438927643277,9802,10928.0
6,4,0.8416095890410958,0.27047781569965873,9827,10947.0
6,5,0.8435787671232877,0.2696213966985135,9849,10989.0
6,6,0.841181506849315,0.2666413394480475,9826,10959.0
6,7,0.8412671232876713,0.26787809336716595,9818,10949.0
6,8,0.8363013698630137,0.26942276400341986,9769,10896.0
6,9,0.8428938356164384,0.27037647705413576,9839,10980.0
6,10,0.8404965753424658,0.2681959862197189,9809,10939.0
6,11,0.8430650684931507,0.27043332139610476,9817,10973.0
6,12,0.8395547945205479,0.26859628484666104,9818,10930.0
6,13,0.8488013698630137,0.2717895256645908,9907,11038.0
6,14,0.8410102739726028,0.26823864102634243,9806,10944.0
6,15,0.8461472602739726,0.2683857602355122,9846,11006.0
6,16,0.8378424657534247,0.2674946654264923,9778,10915.0
6,17,0.843236301369863,0.27185939353806254,9853,10976.0
6,18,0.8457191780821918,0.27157332452227545,9863,11000.0
6,19,0.831763698630137,0.2648905388436971,9704,10843.0
6,20,0.8458047945205479,0.2702272914210512,9856,11006.0
6,21,0.8392979452054794,0.2701068886873849,9830,10939.0
6,22,0.8425513698630137,0.27114208583549115,9843,10956.0
6,23,0.8331335616438356,0.26463388097051466,9729,10847.0
6,24,0.842722602739726,0.2697467694586957,9832,10970.0
6,25,0.8453767123287671,0.2675937746149876,9852,11002.0
6,26,0.8402397260273973,0.2703758736448187,9826,10939.0
6,27,0.8400684931506849,0.2671324472585355,9788,10923.0
6,28,0.8414383561643836,0.269519890260631,9824,10954.0
6,29,0.8402397260273973,0.26897667150963567,9812,10930.0
6,30,0.8405821917808219,0.26752878267037705,9806,10944.0
6,31,0.8382705479452055,0.2672590567327409,9775,10936.0
6,32,0.8351027397260274,0.26519727891156464,9746,10883.0
6,33,0.8352739726027397,0.2670395350112409,9740,10876.0
6,34,0.841181506849315,0.26885048341595685,9816,10953.0
6,35,0.8358732876712329,0.26794534079683896,9765,10892.0
6,36,0.8399828767123287,0.2681518377623909,9798,10945.0
6,37,0.8410102739726028,0.2694733955019199,9825,10961.0
6,38,0.8424657534246576,0.26875580569367796,9837,10968.0
6,39,0.8408390410958904,0.267677317511295,9835,10956.0
6,40,0.8431506849315068,0.27147396049178063,9826,10971.0
6,41,0.8416095890410958,0.26967773839940656,9816,10941.0
6,42,0.8418664383561644,0.26963947390098575,9820,10952.0
6,43,0.8415239726027397,0.2679380149506193,9821,10960.0
6,44,0.8399828767123287,0.26740415792485217,9814,10938.0
6,45,0.8401541095890411,0.26653263054936693,9810,10952.0
6,46,0.8475171232876713,0.26910633207362494,9898,11017.0
6,47,0.8414383561643836,0.26834536307961504,9815,10959.0
6,48,0.844263698630137,0.2705976051851038,9853,10999.0
6,49,0.8392979452054794,0.2707597173144876,9808,10937.0
6,50,0.8393835616438357,0.26804997402881436,9805,10938.0
6,51,0.8408390410958904,0.2687919003967711,9823,10947.0
6,52,0.8412671232876713,0.27037800687285224,9835,10956.0
6,53,0.8392123287671233,0.26724561690971654,9786,10923.0
6,54,0.8416095890410958,0.2695997807017544,9835,10973.0
6,55,0.8369006849315068,0.26574300461831024,9782,10918.0
6,56,0.8422945205479452,0.26928659455018483,9833,10963.0
6,57,0.8456335616438356,0.2723246217331499,9899,10997.0
6,58,0.842208904109589,0.27205171413574963,9848,10961.0
6,59,0.8384417808219178,0.2706132244627734,9810,10928.0
6,60,0.8388698630136986,0.26875669146512204,9790,10939.0
6,61,0.8379280821917808,0.2691429985427951,9789,10921.0
6,62,0.8388698630136986,0.2671397379912664,9788,10896.0
6,63,0.834332191780822,0.2676737160120846,9746,10877.0
6,64,0.8311643835616438,0.2672656120817946,9698,10830.0
6,65,0.8440924657534247,0.2682926829268293,9845,10974.0
6,66,0.8460616438356164,0.2728125603598135,9887,11026.0
6,67,0.8395547945205479,0.2686714320926793,9810,10943.0
