class1_xi_high,class_id,mean,std,n,se,ci95,metric
0.0,1,0.31958228466134964,0.003239330001121161,100,0.0003239330001121161,0.0006349086802197475,percent_serviced
0.0,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.1,1,0.3025770150203353,0.0032257317662371717,100,0.00032257317662371716,0.0006322434261824857,percent_serviced
0.1,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.2,1,0.2857295751279622,0.0031169715092109946,100,0.00031169715092109945,0.0006109264158053549,percent_serviced
0.2,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.3,1,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,percent_serviced
0.3,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.4,1,0.25190456974923636,0.0032055199048418538,100,0.00032055199048418537,0.0006282819013490033,percent_serviced
0.4,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.5,1,0.23478503516756025,0.003110374645204563,100,0.0003110374645204563,0.0006096334304600943,percent_serviced
0.5,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.6,1,0.2177258821399831,0.0029875370555313857,100,0.00029875370555313855,0.0005855572628841515,percent_serviced
0.6,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.7,1,0.20071317191112367,0.003034631230484625,100,0.0003034631230484625,0.0005947877211749865,percent_serviced
0.7,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.8,1,0.18352331997210097,0.0027780639380735046,100,0.00027780639380735046,0.0005445005318624069,percent_serviced
0.8,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.9,1,0.16664447536714924,0.002514701057302354,100,0.0002514701057302354,0.0004928814072312613,percent_serviced
0.9,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.0,1,0.5000162671232876,0.004315030314254966,100,0.0004315030314254966,0.0008457459415939733,slot_utilization
0.0,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.1,1,0.473410102739726,0.004395082545652225,100,0.00043950825456522244,0.000861436178947836,slot_utilization
0.1,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.2,1,0.4470513698630137,0.0043462776307166264,100,0.00043462776307166264,0.0008518704156204587,slot_utilization
0.2,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.3,1,0.42071575342465756,0.00427048218565983,100,0.00042704821856598304,0.0008370145083893267,slot_utilization
0.3,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.4,1,0.3941267123287671,0.004428559705736008,100,0.0004428559705736008,0.0008679977023242576,slot_utilization
0.4,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.5,1,0.3673407534246575,0.004260579301653439,100,0.00042605793016534387,0.000835073543124074,slot_utilization
0.5,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.6,1,0.34065068493150685,0.004166026893228,100,0.0004166026893228,0.0008165412710726879,slot_utilization
0.6,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.7,1,0.31403082191780823,0.004175919600826627,100,0.0004175919600826627,0.0008184802417620189,slot_utilization
0.7,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.8,1,0.28713698630136986,0.00389858301505524,100,0.00038985830150552403,0.0007641222709508271,slot_utilization
0.8,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.9,1,0.2607303082191781,0.0036475330045280664,100,0.0003647533004528066,0.000714916468887501,slot_utilization
0.9,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.0,1,0.0,0.0,100,0.0,0.0,no_show
0.0,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.1,1,310.76,18.43805901395318,100,1.8438059013953179,3.613859566734823,no_show
0.1,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.2,1,618.63,23.047011682097686,100,2.3047011682097684,4.517214289691146,no_show
0.2,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.3,1,926.23,27.466363266932728,100,2.746636326693273,5.383407200318815,no_show
0.3,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.4,1,1236.79,35.449293705833185,100,3.5449293705833185,6.948061566343304,no_show
0.4,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.5,1,1549.65,39.027412018847585,100,3.9027412018847585,7.6493727556941264,no_show
0.5,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.6,1,1861.39,41.319131235550024,100,4.131913123555003,8.098549722167805,no_show
0.6,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.7,1,2172.31,45.3152136247705,100,4.53152136247705,8.881781870455017,no_show
0.7,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.8,1,2486.43,45.11920350862284,100,4.511920350862284,8.843363887690076,no_show
0.8,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.9,1,2794.86,43.92993043334795,100,4.392993043334795,8.610266364936198,no_show
0.9,2,926.89,26.544757324453762,100,2.654475732445376,5.202772435592937,no_show
0.0,1,5840.19,50.39955407049782,100,5.039955407049782,9.878312597817573,served
0.0,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.1,1,5529.43,51.334564133217896,100,5.13345641332179,10.061574570110707,served
0.1,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.2,1,5221.56,50.764522726770075,100,5.076452272677008,9.949846454446934,served
0.2,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.3,1,4913.96,49.87923192850681,100,4.9879231928506815,9.776329457987336,served
0.3,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.4,1,4603.4,51.72557736299661,100,5.172557736299661,10.138213163147334,served
0.4,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.5,1,4290.54,49.76356624331236,100,4.9763566243312365,9.753658983689224,served
0.5,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.6,1,3978.8,48.65919411290298,100,4.865919411290298,9.537202046128984,served
0.6,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.7,1,3667.88,48.77474093765485,100,4.877474093765485,9.559849223780349,served
0.7,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.8,1,3353.76,45.53544961584517,100,4.5535449615845165,8.924948124705653,served
0.8,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.9,1,3045.33,42.60318549288784,100,4.260318549288784,8.350224356606017,served
0.9,2,4900.22,48.61175399286287,100,4.861175399286287,9.527903782601122,served
0.0,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.0,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.1,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.1,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.2,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.2,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.3,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.3,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.4,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.4,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.5,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.5,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.6,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.6,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.7,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.7,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.8,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.8,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.9,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.9,2,8.347558429266552,0.08579954462625619,100,0.008579954462625619,0.016816710746746212,mean_accepted_booking_delay
0.0,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.0,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.1,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.1,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.2,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.2,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.3,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.3,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.4,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.4,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.5,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.5,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.6,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.6,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.7,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.7,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.8,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.8,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.9,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.9,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
