scenario,b_high,n_seeds,average_utilization_mean,average_utilization_std,average_utilization_se,overall_percent_serviced_mean,overall_percent_serviced_std,overall_percent_serviced_se,mean_offered_booking_delay_mean,mean_offered_booking_delay_std,mean_offered_booking_delay_se,mean_accepted_booking_delay_mean,mean_accepted_booking_delay_std,mean_accepted_booking_delay_se,served_rate_mean,served_rate_std,served_rate_se,booked_rate_mean,booked_rate_std,booked_rate_se,balked_rate_mean,balked_rate_std,balked_rate_se,no_offer_rate_mean,no_offer_rate_std,no_offer_rate_se,canceled_rate_mean,canceled_rate_std,canceled_rate_se,no_show_rate_mean,no_show_rate_std,no_show_rate_se,unresolved_booked_rate_mean,unresolved_booked_rate_std,unresolved_booked_rate_se,decomposition_sum_mean,decomposition_sum_std,decomposition_sum_se
sweep_0.00,0.0,30,0.8403909817351598,0.0028625983819300575,0.0005226365689536271,0.26816358882720054,0.0014922149846637882,0.0002724399359158608,9.454873045627897,0.01897493673984059,0.0034643336265480756,9.454873045627897,0.01897493673984059,0.0034643336265480756,0.26816358882720054,0.0014922149846637882,0.0002724399359158608,0.703444049617046,0.0035812693568056755,0.0006538473370748286,0.0,0.0,0.0,0.2965559503829541,0.0035812693568056816,0.0006538473370748297,0.3836236609729662,0.0028403686266286845,0.0005185779894781665,0.0507360441859872,0.0009426727742844153,0.00017210771427385004,0.0009207556308920222,0.00014894168870272138,2.719290755179762e-05,1.0,5.049947417427503e-17,9.219900382466668e-18
sweep_0.10,0.1,30,0.8411044520547944,0.0030140567418850055,0.0005502889557103145,0.2683958251782782,0.0014690608523572366,0.00026821258906127495,9.63973329572777,0.018659190989306837,0.0034066866032134973,9.45047150014371,0.019095850999708036,0.003486409449099223,0.2683958251782782,0.0014690608523572366,0.00026821258906127495,0.7040549091739677,0.00348061877288638,0.0006354711386619403,0.0461050232738804,0.0011596274204076311,0.0002117180321529287,0.24984006755215174,0.0038346470201833485,0.000700107557674796,0.3842091769625718,0.0027102709718356,0.000494825516075269,0.050553933867170074,0.00109792073199714,0.00020045198375580586,0.00089597316594775,0.00010219744394988514,1.8658615123573985e-05,1.0,7.713922098636097e-17,1.408363046753527e-17
sweep_0.20,0.2,30,0.8406335616438357,0.0025285830190132997,0.0004616539860126995,0.26831442428514474,0.0020845947673307904,0.00038059319244143576,9.844149096785184,0.020291389915576333,0.003704683993298002,9.449812703976967,0.020567866026381734,0.0037551613941311404,0.26831442428514474,0.0020845947673307904,0.00038059319244143576,0.703400686406238,0.005712082037704491,0.0010428787274569414,0.10342351415619294,0.0017486278229889686,0.00031925430111073627,0.19317579943756918,0.0059632380791125265,0.001088733337234569,0.3835072350964682,0.0038977030034349847,0.0007116199524789923,0.05065193070716142,0.0008014577809055169,0.00014632550182999492,0.0009270963174634559,0.00011512849447447174,2.101949114509235e-05,1.0,8.986447290752814e-17,1.640693297658834e-17
sweep_0.30,0.3,30,0.8402939497716895,0.0025414339224859744,0.00046400022925146796,0.26800736532044883,0.0016873869769705408,0.00030807330350907184,10.049519601384391,0.021276191403619586,0.00388448332318665,9.427959979637965,0.0211871438916635,0.00386822554619063,0.26800736532044883,0.0016873869769705408,0.00030807330350907184,0.7018211200521259,0.0042096189424902135,0.0007685677511009775,0.17749062211613928,0.002445885045785993,0.0004465554708805148,0.12068825783173477,0.0048963292693957544,0.0008939433299402814,0.38201449128735426,0.003057462853228353,0.0005582137911490919,0.050881713541646625,0.000891760532200863,0.00016281245312640825,0.0009175499026762799,0.00012507022296712935,2.2834594130432483e-05,1.0,5.454566625490348e-17,9.958630607319656e-18
sweep_0.40,0.4,30,0.8405907534246576,0.0036474910443469477,0.0006659377077622998,0.26817095234684624,0.001638348124588688,0.0002991200749611696,10.148714536427416,0.027111786619728656,0.0049499123686307074,9.294529912538904,0.03074734897175824,0.0056136722051050875,0.26817095234684624,0.001638348124588688,0.0002991200749611696,0.6947573359197147,0.0031522752590815496,0.0005755240889548022,0.27098683079850894,0.0037443208673203048,0.000683616333856213,0.03425583328177644,0.004992971039341792,0.0009115876224058379,0.375091102573224,0.002307882364079541,0.00042135974362490504,0.05064886315975931,0.0010802502272960718,0.0001972258057467138,0.0008464178398849979,0.00016836826581814537,3.073969905220807e-05,1.0,7.984667951577998e-17,1.4577942504226124e-17
sweep_0.50,0.5,30,0.8417979452054796,0.003104450410109084,0.0005667925060909698,0.2692322969492963,0.0015271788591911752,0.00027882343684133745,9.29488926998125,0.058073986663859316,0.010602810833349978,8.334619935969913,0.051121160651122495,0.009333404284821758,0.2692322969492963,0.0015271788591911752,0.00027882343684133745,0.6449927873667654,0.003218412058129261,0.0005875989611946747,0.3550072126332346,0.003218412058129258,0.0005875989611946741,0.0,0.0,0.0,0.32480069822307683,0.0030150170683854,0.0005504642865392598,0.050562788534185714,0.001039751916331337,0.00018983185959463246,0.00039700366020652703,0.0002033126658806206,3.7119644443108945e-05,1.0,1.1292025708167404e-16,2.0616324000971782e-17
sweep_0.60,0.6,30,0.8407762557077626,0.003337105143912791,0.0006092692546958531,0.26919354316714095,0.0015225130113141634,0.0002779715734639618,8.541510732645555,0.01740870624638878,0.0031783803693760746,7.552218027896709,0.01786883698942097,0.003262388365162856,0.26919354316714095,0.0015225130113141634,0.0002779715734639618,0.6041113331769837,0.0032428654023304846,0.0005920635106031575,0.39588866682301643,0.0032428654023304733,0.0005920635106031554,0.0,0.0,0.0,0.2839562108548856,0.0023325580291935375,0.00042586488309303145,0.050957018958442596,0.0011473640234120272,0.00020947905243088428,4.560196514525896e-06,2.0418646593478592e-05,3.7279177776580806e-06,1.0,4.6099501912333345e-17,8.416579029045838e-18
sweep_0.70,0.7,30,0.8404109589041096,0.003743565495294265,0.0006834784224235563,0.2686325406085965,0.0017637468933792786,0.00032201465307783,8.428465731866059,0.017489916633861333,0.003193207289750225,7.3502944060619,0.018546995774075127,0.0033862026531379786,0.2686325406085965,0.0017637468933792786,0.00032201465307783,0.5931487685695068,0.003513465306078824,0.0006414680677170549,0.4068512314304931,0.0035134653060788228,0.0006414680677170547,0.0,0.0,0.0,0.27354284036030224,0.002585157280605936,0.0004719829857621945,0.05097338760060815,0.0013870461106724543,0.00025323881437170346,0.0,0.0,0.0,1.0,5.454566625490348e-17,9.958630607319656e-18
sweep_0.80,0.8,30,0.841837899543379,0.0032284936337809863,0.000589439596661223,0.2688286433300798,0.00184315085723358,0.00033651176713060525,8.365953679463736,0.019896848695320865,0.0036326509512314906,7.210220347442824,0.01793576070227412,0.0032746069075500783,0.2688286433300798,0.00184315085723358,0.00033651176713060525,0.5857082584126262,0.003906767857427511,0.0007132749608163915,0.41429174158737375,0.003906767857427497,0.000713274960816389,0.0,0.0,0.0,0.26634695183089957,0.0030918085442793695,0.0005644844277296736,0.05053266325164688,0.000985935743878054,0.00018000641572421539,0.0,0.0,0.0,1.0,6.837661126762204e-17,1.2483804132346167e-17
sweep_0.90,0.9,30,0.8396090182648404,0.0036429931264673654,0.0006651165040674822,0.2689540809788414,0.0017868426863577,0.0003262313486770803,8.314517194002587,0.01625728028240073,0.002968159711451612,7.098883507225952,0.014225863961453554,0.002597275530562638,0.2689540809788414,0.0017868426863577,0.0003262313486770803,0.5809725913354765,0.0041921859582289955,0.0007653849381928103,0.41902740866452354,0.004192185958228976,0.0007653849381928068,0.0,0.0,0.0,0.2607050583358686,0.0029653334832112233,0.000541393346426718,0.05131345202076646,0.001160890167803539,0.00021194857723065195,0.0,0.0,0.0,1.0,4.1232648001943564e-17,7.528017138778268e-18
sweep_1.00,1.0,30,0.8412871004566209,0.0031134167409124515,0.0005684295266373224,0.26920005315677964,0.0017993234333177613,0.0003285100108919268,8.27008802900944,0.018542741938033052,0.003385426012485921,6.999295835710226,0.017965564795084276,0.003280048365529445,0.26920005315677964,0.0017993234333177613,0.0003285100108919268,0.5764915098075228,0.0037004574418781394,0.000675608004668173,0.42350849019247716,0.003700457441878136,0.0006756080046681724,0.0,0.0,0.0,0.2564937829073654,0.0027999426682888497,0.0005111972530476692,0.05079767374337778,0.0010011338846155702,0.000182781203895574,0.0,0.0,0.0,1.0,5.454566625490348e-17,9.958630607319656e-18
